Rank,Route_ID,Zone_ID,Location,Score,Households,Conversion_Rate,Saturation,Freshness,Daily_kWh,Expected_Closes,Latitude,Longitude,Priority
864,290,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
865,291,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
866,292,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
867,293,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
868,294,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
869,295,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
870,296,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
871,297,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
872,298,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
873,299,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
874,300,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
875,301,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
876,302,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
877,303,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
878,304,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
879,305,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
880,306,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
881,307,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
882,308,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
883,309,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
884,310,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
885,311,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
886,312,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
887,313,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
888,314,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
889,315,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
890,316,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
891,317,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
892,318,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
893,319,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
894,320,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
895,321,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
896,322,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
897,323,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
898,324,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
899,325,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
900,326,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
901,327,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
902,328,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
903,329,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
904,330,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
905,331,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
906,332,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
907,333,3,Hampton,60.2,150,48%,40%,60%,691200,72.0,37.0091,-76.3945,MODERATE
